,Date,Open,High,Low,Close,Adj Close,Volume,Average,Value,MA5,CHMF,Upper,Lower,BBH,BBM,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,OUD,CUD,RPB,MACDC,Candlestick,KDLine,OBVC,RSIP,PCRP,PCRC,RSIC
110,2018-06-11,14.9975004196167,15.265000343322754,14.989999771118164,15.15250015258789,15.121221542358398,20418000,15.127500057220459,308873296.16832733,15.126500129699707,1.9088152492006165,16.66775016784668,13.637250137329103,15.52648282199019,14.195666837692261,12.864850853394334,575710400.0,77.99776288138328,0.5750138331024832,0.49177654242660435,0.08323729067587887,1.82,12.35,0.54,81.87842394341342,82.98848626953632,1.2831371637754607,0.7815118481428351,2.0,0.0,0.0,0.0,0.0,1.0,-2.0,-0.009999999999999953,2.975754663565489
111,2018-06-12,15.21500015258789,15.432499885559082,15.167499542236328,15.392499923706056,15.360725402832031,23924000,15.299999713897705,366037193.1552887,15.157500076293946,1.7628072246826088,16.931749916076665,13.853249931335451,15.690760276328085,14.268458461761474,12.846156647194864,599634400.0,77.1105249440993,0.5908124162260187,0.5115837171864872,0.07922869903953145,1.82,12.34,0.5,93.06772587203884,85.28038554694366,1.450239885885929,1.58389552021998,2.0,0.0,0.0,1.0,1.0,1.0,-2.0,-0.040000000000000036,-2.244515408293843
112,2018-06-13,15.449999809265137,15.732500076293944,15.28499984741211,15.375,15.34326171875,36123600,15.508749961853027,560231880.121994,15.205500030517578,2.4629806776635643,16.9125,13.8375,15.81537654587303,14.362916803359985,12.91045706084694,563510800.0,80.712317823403,0.5950613131784372,0.5282792363848772,0.06678207679356007,1.82,12.94,0.54,81.79194614157078,85.57936531900775,1.5445261539302368,0.0,2.0,0.0,1.0,-1.0,-1.0,2.0,-2.0,0.040000000000000036,3.2664693528467197
113,2018-06-14,15.595000267028809,15.914999961853027,15.552499771118164,15.842499732971191,15.809797286987305,45226400,15.733749866485596,711580864.9616241,15.2,2.085546424928465,17.42674970626831,14.258249759674072,16.025239511107777,14.468333435058593,12.911427359009409,608737200.0,77.78117199701326,0.6289023215328378,0.5484038534144693,0.08049846811836847,1.82,12.12,0.5,90.41655393674591,88.42540865011858,0.9385143013187491,3.0406486697313273,2.0,0.0,0.0,1.0,1.0,1.0,-2.0,-0.07500000000000001,-3.244280216318508
114,2018-06-15,15.65999984741211,15.772500038146973,15.449999809265137,15.6850004196167,15.65262222290039,38844800,15.611249923706055,606415881.036377,15.35949993133545,2.0396872035804345,17.25350046157837,14.11650037765503,16.16030200877224,14.573625087738037,12.986948166703833,569892400.0,81.33858660326054,0.6356849062547827,0.565860063982532,0.06982484227225072,1.82,11.98,0.61,83.67875281321807,85.295750963845,0.41679755864272305,-0.9941569576088272,2.0,0.0,1.0,-1.0,-1.0,2.0,-1.0,0.08999999999999997,3.820242323040013
115,2018-06-18,15.375,15.6875,15.229999542236328,15.649999618530272,15.617693901062012,34363200,15.458749771118164,531212110.1348877,15.489500045776367,2.3482924458859444,17.2149995803833,14.084999656677244,16.238243903681614,14.688041734695435,13.137839565709257,535529200.0,77.25551656342779,0.630962538001496,0.5788805587863248,0.052081979215171215,1.82,12.31,0.54,79.13875339573342,84.41135338189922,-1.8199224150005744,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-2.0,-0.05999999999999994,-3.7861994369226366
116,2018-06-19,15.047499656677246,15.515000343322754,14.904999732971191,15.510000228881836,15.477983474731444,53816800,15.210000038146973,818553530.052948,15.588999938964843,3.020110295065707,17.06100025177002,13.959000205993652,16.287995754660066,14.783791732788085,13.279587710916104,481712400.0,80.74484539744032,0.6089041780817919,0.5848852826454183,0.02401889543637359,1.82,13.35,0.59,69.03689555285088,77.28480058726753,-2.130083533806526,-0.89456481189093,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.039999999999999925,4.565039995156255
117,2018-06-20,15.71500015258789,16.032499313354492,15.682499885559082,15.835000038146973,15.802311897277832,39822400,15.857499599456787,631483692.049408,15.6125,3.4815541518717983,17.41850004196167,14.251500034332276,16.352917629760704,14.899333381652832,13.445749133544961,521534800.0,75.10409424114033,0.610608819019621,0.5900299899202588,0.02057882909936226,1.82,12.79,0.56,79.84317545703533,76.00627480187329,4.435956212927672,2.095421047511925,2.0,0.0,1.0,1.0,0.0,1.0,-1.0,-0.014999999999999958,-4.388877241894377
118,2018-06-21,15.94499969482422,15.9975004196167,15.332500457763672,15.425000190734863,15.393158912658691,51140400,15.665000438690186,801114388.4347916,15.704500007629395,3.8879310990884273,16.96750020980835,13.882500171661377,16.366438200495406,14.977375030517578,13.58831186053975,470394400.0,78.2410975686291,0.5722793183195805,0.5864798556001232,-0.014200537280542713,1.82,14.64,0.56,54.62660461039128,67.83555854009256,1.463566910614733,-2.589200166873429,1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,9.127316584889034
119,2018-06-22,15.579999923706056,15.595000267028809,15.15250015258789,15.270000457763672,15.238479614257812,31113600,15.37375020980835,478332714.52789307,15.62100009918213,3.027130670997725,16.79700050354004,13.743000411987305,16.341873090723116,15.04825005531311,13.754627019903104,439280800.0,63.123467726339804,0.523362730031879,0.5738564304864744,-0.050493700454595336,1.82,13.77,0.56,35.88535130754445,56.785043791657095,-2.2891174543994697,-1.0048604930604332,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-0.024999999999999967,-3.39796358104023
120,2018-06-25,14.904999732971191,14.967499732971191,13.8725004196167,14.295000076293944,14.265491485595703,85653200,14.420000076293945,1235119150.5348206,15.538000106811523,2.4451453650874133,15.724500083923338,12.865500068664549,16.299806969321615,15.06862506866455,13.837443168007486,353627600.0,54.80176504613097,0.4012957118541074,0.539344286760001,-0.13804857490589362,1.82,17.33,0.61,20.71254369916703,37.07483320570099,-4.332478780746363,-6.385071069032044,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.06999999999999995,4.101276823958095
121,2018-06-26,14.432499885559082,14.69499969482422,14.274999618530272,14.452500343322754,14.422666549682615,47082800,14.484999656677246,681994341.8354034,15.267000198364258,2.4395764477423514,15.897750377655031,13.007250308990479,16.2089478659186,15.10575008392334,14.002552301928082,400710400.0,38.27750871800594,0.3136501125108122,0.49420545191016324,-0.18055533939935103,1.82,15.92,0.52,22.100012772118177,26.232635926276625,-3.1700761883738715,1.1017857026108135,-1.0,0.0,1.0,0.0,0.0,-1.0,-2.0,-0.12,-7.461382773611842
122,2018-06-27,14.635000228881836,14.829999923706056,13.829999923706056,13.8725004196167,13.843864440917969,65919200,14.329999923706056,944622130.9707643,15.05550022125244,2.363474711971997,15.25975046157837,12.48525037765503,16.229570859381223,15.09925012588501,13.968929392388798,334791200.0,36.6760179371046,0.19513974745890472,0.43439231101991155,-0.23925256356100683,1.82,17.91,0.67,4.943182168409518,15.91857954656498,1.4030857088408677,-4.01314589121613,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.08500000000000002,0.27653640856459916
123,2018-06-28,13.80500030517578,14.352499961853027,13.717499732971191,14.212499618530272,14.183161735534668,55650000,14.03499984741211,781047741.5084839,14.663000297546386,1.7235200920053748,15.6337495803833,12.791249656677245,16.197712730512546,15.111250114440917,14.024787498369287,390441200.0,34.521454339074054,0.1271883747821807,0.3729515237723654,-0.2457631489901847,1.82,16.85,0.65,14.490070999140087,13.844421979889333,-5.671335228735231,2.4508862038510992,-2.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.02999999999999997,-3.822622942000965
124,2018-06-29,14.417499542236328,14.640000343322754,14.265000343322754,14.27750015258789,14.248027801513672,39268000,14.452500343322754,567520783.4815979,14.420500183105469,2.1583719219025146,15.705250167846682,12.849750137329101,16.221148410416365,15.094000101089478,13.966851791762588,429709200.0,40.01213662504544,0.07768590745564374,0.31389840050902107,-0.23621249305337733,1.82,16.09,0.69,20.705696761590293,13.379649976380037,4.436792636874554,0.45734765735980787,-2.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.07499999999999996,3.1327150865289894
125,2018-07-02,13.914999961853027,14.614999771118164,13.81999969482422,14.59749984741211,14.56736660003662,41648400,14.217499732971191,592136115.8786774,14.222000122070312,1.32323879702672,16.05724983215332,13.1377498626709,16.22130272187757,15.074000072479247,13.926697423080922,471357600.0,39.23738873795885,0.06354365477888635,0.2638274513629941,-0.20028379658410778,1.91,15.6,0.58,33.49786345677702,22.897877072502535,-3.485344867958684,2.2412865796132886,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.10000000000000003,-0.973743782521538
126,2018-07-03,14.755000114440918,14.770000457763672,14.057499885559082,14.095000267028809,14.06590461730957,28212800,14.413750171661377,406652250.8430481,14.282500076293946,1.2720379454727804,15.504500293731692,12.685500240325927,16.244062517539753,15.021125078201294,13.798187638862835,443144800.0,40.41012841591534,0.011653961457072981,0.2133927533818099,-0.20173879192473693,1.91,16.14,0.67,21.73273085373593,25.312097024034482,6.036652209059934,-3.4423674302855756,-2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.08000000000000007,2.7028823656980627
127,2018-07-05,14.3725004196167,14.647500038146973,14.147500038146973,14.612500190734863,14.582335472106934,32811200,14.397500038146973,472399253.25164795,14.211000061035156,0.712012921601338,16.073750209808352,13.151250171661378,16.203770918949957,14.981625080108643,13.759479241267329,475956000.0,36.1771033624757,0.012148879845797822,0.17314397867460748,-0.16099509882880966,1.91,14.97,0.6,40.832085341708364,32.02089321740717,-2.5923394907320985,3.671514110692109,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-0.020000000000000018,-2.4574482209082262
