,Date,Open,High,Low,Close,Adj Close,Volume,MA5,CHMF,BBH,BBL,OBV,RSI,DIF,MACD,DFF,IR,VIX,PCR,KL,DL,UD
83,2018-05-02,75.58000183105469,78.94999694824219,74.69999694824219,75.7699966430664,75.2232437133789,904700,76.25599975585938,-0.3236881013442928,97.37409076210662,58.96340923789339,16498200.0,44.64421987954484,-2.285206941559821,-2.144231445242735,-0.28195099263417145,1.7,15.97,0.65,19.25287037391011,7.8783479131734575,-1.8014605405281436
84,2018-05-03,75.05000305175781,77.447998046875,70.38999938964844,71.87000274658203,71.35138702392578,1888900,76.73999938964843,-0.7052877945541658,97.17609857923297,59.41673436754438,18387100.0,37.63412319093575,-2.5658581313404483,-2.2130996730985686,-0.7055169164837594,1.7,15.9,0.76,20.279834328310546,14.295971371143494,-5.147148039158922
85,2018-05-04,72.06999969482422,77.12000274658203,71.72000122070312,75.63999938964844,75.09418487548828,1373400,75.69600067138671,-0.6570508155958249,97.31061978613371,59.18781313622958,17013700.0,36.39429966630562,-2.4557605206807693,-2.316998741184267,-0.2775235589930043,1.7,14.77,0.55,16.647629686073667,18.816933377643284,5.245577430071413
86,2018-05-07,76.30999755859375,79.55000305175781,76.21499633789062,78.36000061035156,77.79456329345703,921600,75.01800079345703,-0.36476980165500733,95.2893908248965,61.94237543080014,16092100.0,43.885603488604154,-2.124535679672732,-2.391673724726262,0.5342760901070598,1.7,14.75,0.54,14.312854742872764,18.72677812943144,3.595982605303094
87,2018-05-08,77.77999877929688,77.77999877929688,75.69400024414062,77.18000030517578,76.6230697631836,747000,75.76000061035157,-0.14202391766956243,94.43563312728922,63.410666616363144,16839100.0,39.20939996772179,-1.9349488835160997,-2.3819745329795032,0.894051298926807,1.7,14.71,0.61,18.59444484525915,17.080106252418993,-1.5058707197354249
88,2018-05-09,77.75,83.08000183105469,76.52999877929688,81.77999877929688,81.18988037109375,1063300,75.76399993896484,-0.30625697904023197,94.46323695982177,63.29149606223227,15775800.0,38.805180001669875,-1.3974100751043466,-2.3132829742488843,1.8317457982890755,1.7,13.42,0.58,32.727240869005904,16.518309758068526,5.960091287810743
89,2018-05-10,82.30000305175781,84.86000061035156,79.20099639892578,79.7699966430664,79.19437408447266,1426400,76.96600036621093,-0.2295560515504782,94.38700745463173,63.3153922442615,17202200.0,50.911014695501095,-1.1206785856479513,-2.191532463552267,2.141707755808631,1.7,13.23,0.51,50.14848642228199,21.878180152379272,-2.457816295222681
90,2018-05-11,79.25,86.80000305175781,79.05000305175781,86.7300033569336,86.10416412353516,1733000,78.5459991455078,-0.5296228009541766,93.53877591166689,63.8446568581085,15469200.0,49.25906765444651,-0.33588068840754204,-2.064610139130756,3.4574589014464276,1.7,12.65,0.6,64.15396416214479,33.82339071218235,8.725093401984175
91,2018-05-14,87.5,90.73999786376952,86.5,89.95999908447266,89.31086730957031,1587500,80.76399993896484,-0.19490585225610343,93.91223309778918,63.59183336949598,13881700.0,60.16968707941899,0.540480635996559,-1.8345693764775508,4.750100024948219,1.7,12.93,0.62,61.65078182098829,49.00989715114423,3.724196474714936
92,2018-05-15,88.1500015258789,88.95999908447266,86.375,88.36000061035156,87.72240447998047,889200,83.08399963378906,0.1262800220006102,96.63545363874692,61.62194611100893,12992500.0,68.9840832832684,1.0932939818420095,-1.5199776522147945,5.226543268113608,1.7,14.63,0.62,74.41437740958885,58.65107746847169,-1.7785665744823875
93,2018-05-16,87.41000366210938,92.81999969482422,87.41000366210938,91.9000015258789,91.2368621826172,966300,85.31999969482422,0.01702464170450345,97.65366773859762,60.873231726327525,12026200.0,67.08399958110404,1.796343895844558,-1.1445886607257023,5.88186511314052,1.7,13.42,0.5,78.01484315885466,66.73970779757398,4.006338717830005
94,2018-05-17,91.5199966430664,93.44000244140624,90.0199966430664,92.62000274658205,91.95166015625,838500,87.34400024414063,0.3782036204600661,99.52155046917649,59.437682369772105,11187700.0,66.93345992579268,2.384131317346018,-0.6598995465940349,6.088061727880106,1.7,13.43,0.57,86.82693253340712,71.36000079647727,0.7834615982029058
95,2018-05-18,92.5,94.05999755859376,89.56700134277344,92.1500015258789,91.48504638671876,771500,89.91400146484375,0.7688412415725203,102.66838643019942,57.23051315679605,11959200.0,65.9844781043926,2.7799859653911057,-0.12213378681328083,5.804239504408773,1.7,13.42,0.66,82.32930041538131,79.7520510339502,-0.5074510977818858
96,2018-05-21,93.6500015258789,94.48999786376952,85.45999908447266,86.79000091552734,86.1637191772461,1439200,90.99800109863281,0.884965696832754,105.52437974594531,55.50738676406447,13398400.0,72.66839019800844,2.63086934790104,0.4228130626382567,4.416112570525566,1.7,13.08,0.54,81.69969634596553,82.39035870254769,-5.816603930110942
97,2018-05-22,87.75,90.0,85.26000213623047,87.61000061035156,86.97781372070312,808200,90.36400146484375,0.765098836090814,106.98588202573035,55.134584333726075,14206600.0,61.616400711585904,2.5494717531822744,0.9301261994623834,3.2386911074397817,1.7,13.22,0.58,81.85882722513749,83.61864309825133,0.944808948236231
98,2018-05-23,86.48999786376953,90.73999786376952,86.22000122070312,88.5999984741211,87.96067810058594,669400,90.21400146484375,0.9524818339291311,107.58995640656477,55.79417699594174,13537200.0,64.48141482726642,2.53561908829667,1.3686686248275635,2.333900926938213,1.7,12.58,0.65,69.2005800244345,81.96260799549476,1.1300055437421852
99,2018-05-24,88.1500015258789,90.33999633789062,87.19000244140625,89.69999694824219,89.05271911621094,335400,89.55400085449219,0.8915959206585279,107.7218251848254,57.215641500151804,13201800.0,72.03054410018959,2.5836190828227643,1.7749239219325215,1.6173903217804857,1.7,12.53,0.64,57.12448651546797,77.58636786517917,1.241533287884189
100,2018-05-25,89.36000061035156,91.1999969482422,88.25,90.01000213623047,89.36048889160156,557100,88.96999969482422,0.8173947767256785,108.30593040812506,57.917736228024026,12644700.0,69.91500898452982,2.6165127222161146,2.0993127854025553,1.0343998736271187,1.7,13.22,0.61,33.99183390243695,69.39463125501332,0.3456022280214244
101,2018-05-29,88.61000061035156,91.16999816894533,84.91000366210938,88.5199966430664,87.88124084472656,1080900,88.54199981689453,0.7232343110770576,109.15584953316272,58.19048377982556,13725600.0,67.71054885931412,2.493605446249475,2.3299830172047282,0.327244858089494,1.7,17.02,0.65,31.472071717133787,53.438966814113144,-1.655377688924986
102,2018-05-30,89.7300033569336,94.12999725341795,89.44000244140625,93.4800033569336,92.80545806884766,1009600,88.88799896240235,1.0901939789931365,109.16334735043459,59.34131904157387,12716000.0,67.07830145840876,2.764563467082695,2.4855731799166687,0.5579805743320527,1.7,14.94,0.56,26.175080072083762,40.86279737834624,5.603261299101847
103,2018-05-31,93.7300033569336,98.87999725341795,93.7300033569336,97.56999969482422,96.86593627929688,1228400,90.06199951171875,0.9258580862003531,109.6922220755215,60.46044439786721,11487600.0,67.43146223076903,3.2716150321018915,2.593153132276462,1.3569237996508594,1.7,15.43,0.63,28.157430084823417,30.54632856388483,4.375263362233572
104,2018-06-01,98.9000015258789,101.8000030517578,98.18000030517578,101.02999877929688,100.30097198486328,1023100,91.85599975585937,1.1686431571960045,111.36564868593904,60.81235144630382,10464500.0,74.97193565623039,3.9076056150566245,2.6917624339160033,2.4316863622812424,1.82,13.46,0.56,40.92591482611582,28.601527291346986,3.546171051854774
105,2018-06-04,102.83999633789062,103.71900177001952,94.54000091552734,100.25,99.52659606933594,1368800,94.12200012207032,1.4440786506588528,112.73767394624386,62.15039291776981,11833300.0,72.24640992438259,4.299135592355796,2.817053506101061,2.96416417250947,1.82,12.74,0.55,55.018951858834974,31.75280832767433,-0.7720467076326565
106,2018-06-05,99.6999969482422,103.25,99.41000366210938,102.55999755859376,101.8199234008789,818100,96.16999969482421,1.3659941430268683,113.26215439273659,64.09354578223088,11015200.0,67.32906268975509,4.7411701593884885,3.0024164221515894,3.477507474473798,1.82,12.4,0.48,77.10288909181516,41.36743225659141,2.304236966178319
